project_id,project_name,state,district,mp_name,project_type,sanctioned_amount,released_amount,utilized_amount,completion_percentage,sanction_date,start_date,expected_completion_date,actual_completion_date,latitude,longitude,contractor,agency,status,synthetic_scenario,ground_truth_anomaly,financial_progress_ratio,progress_gap,planned_duration_days
P00001,Street Lighting Project 0001,Telangana,Karimnagar,MP_419,Street Lighting,1330000.0,1149000.0,442000.0,29.1,2025-01-08,2025-01-18,2025-12-06,,18.344889,79.240541,Contractor_031,Agency_08,In Progress,normal,0,0.332,4.1,332
P00002,Health Facility Project 0002,Andhra Pradesh,Tirupati,MP_036,Health Facility,4291000.0,3216000.0,2316000.0,53.1,2025-07-01,2025-07-11,2026-07-19,,13.71818,79.386329,Contractor_043,Agency_08,In Progress,normal,0,0.54,0.9,383
P00003,Drinking Water Project 0003,Telangana,Karimnagar,MP_085,Drinking Water,2057000.0,1312000.0,1312000.0,83.7,2026-01-29,2026-02-08,2026-10-26,,18.513044,79.146798,Contractor_025,Agency_07,In Progress,normal,0,0.638,-19.9,270
P00004,Road Project 0004,Gujarat,Surat,MP_369,Road,1217000.0,741000.0,598000.0,53.5,2025-02-03,2025-02-13,2025-11-06,,21.283391,72.931331,Contractor_006,Agency_07,In Progress,normal,0,0.491,-4.4,276
P00005,Drinking Water Project 0005,West Bengal,Malda,MP_110,Drinking Water,1275000.0,867000.0,867000.0,91.2,2025-11-15,2025-11-25,2026-11-14,,25.06419,88.025792,Contractor_029,Agency_15,In Progress,normal,0,0.68,-23.2,364
P00006,Drinking Water Project 0006,Karnataka,Dharwad,MP_260,Drinking Water,1637000.0,1003000.0,1003000.0,100.0,2025-01-25,2025-02-04,2025-11-26,2025-11-26,15.527018,75.102455,Contractor_034,Agency_12,Completed,normal,0,0.613,-38.7,305
P00007,Health Facility Project 0007,Telangana,Nizamabad,MP_470,Health Facility,1123000.0,838000.0,838000.0,90.9,2024-09-15,2024-09-25,2025-11-06,,18.584263,78.108068,Contractor_056,Agency_06,In Progress,normal,0,0.746,-16.3,417
P00008,Road Project 0008,Tamil Nadu,Madurai,MP_092,Road,2525000.0,2144000.0,1801000.0,65.2,2025-04-18,2025-04-28,2025-10-31,,9.935047,78.051239,Contractor_042,Agency_10,In Progress,normal,0,0.713,6.1,196
P00009,Sports Facility Project 0009,West Bengal,Kolkata,MP_166,Sports Facility,1050000.0,907000.0,877000.0,86.6,2025-03-01,2025-03-11,2025-08-16,,22.60619,88.360896,Contractor_021,Agency_03,In Progress,normal,0,0.835,-3.1,168
P00010,Community Hall Project 0010,Maharashtra,Aurangabad,MP_395,Community Hall,3099000.0,2075000.0,2075000.0,100.0,2026-02-11,2026-02-21,2026-08-06,2026-08-06,19.800124,75.368665,Contractor_027,Agency_19,Completed,normal,0,0.67,-33.0,176
P00011,Street Lighting Project 0011,Andhra Pradesh,Krishna,MP_418,Street Lighting,667000.0,541000.0,435000.0,58.9,2024-06-21,2024-07-01,2024-09-25,,16.492956,80.730431,Contractor_009,Agency_12,In Progress,normal,0,0.652,6.3,96
P00012,Street Lighting Project 0012,Telangana,Nizamabad,MP_080,Street Lighting,799000.0,454000.0,454000.0,100.0,2024-03-12,2024-03-22,2025-01-13,2025-05-08,18.712356,78.189062,Contractor_018,Agency_19,Completed,normal,0,0.568,-43.2,307
P00013,Drinking Water Project 0013,Gujarat,Vadodara,MP_431,Drinking Water,1682000.0,942000.0,663000.0,39.6,2024-10-21,2024-10-31,2025-06-22,,22.300411,73.26507,Contractor_027,Agency_19,In Progress,normal,0,0.394,-0.2,244
P00014,Drinking Water Project 0014,Andhra Pradesh,Visakhapatnam,MP_012,Drinking Water,1034000.0,723000.0,638000.0,62.9,2025-02-06,2025-02-16,2025-08-08,,17.755639,83.325845,Contractor_019,Agency_12,Delayed,normal,0,0.617,-1.2,183
